Hotel Name,Price,Star-Rating
Best Western Yokohama,US$52,3
Hotel Dieu Nakanobu,US$56,N/A
ボンアート瀬田,US$60,N/A
ビラ サクラ Villa Sakura - Tokyo-Haneda Airport,US$60,N/A
Riverside Omori,US$61,N/A
Zenith Garden TOGOSHI,US$64,N/A
Seacrest Nakanobu,US$64,N/A
Minn Kamata,US$65,3
#301WZNET梅屋敷駅1分羽田空港品川12分横浜19分Netflix無料,US$68,N/A
Hotel the World Omori,US$75,N/A
Tokyo Time Traveler 駅徒歩5分 暮らすように泊まれるホテル,US$71,N/A
ベルビー川崎,US$71,N/A
Fontaine Kamata,US$72,N/A
"Omorimachi Station - Close to the airport, spacious room, rare Maisonette type",US$73,N/A
kotobuki504condotel,US$78,N/A
Dash Living Osaki,US$79,N/A
Vista Ikegami,US$80,N/A
Red Roof Inn Kamata / Haneda Tokyo,US$80,3
HOTEL AMANEK Kamata-Eki Mae,US$81,3
Toyoko Inn Yokohama Tsurumi eki Higashi guchi,US$82,3
SK House,US$83,N/A
Ai Hotel Keikyu Kamata,US$84,3
FLEXSTAY INN Shinagawa,US$85,3
Hotel Toms,US$88,3
Hotel Oriental Express Tokyo Kamata,US$88,3
APA Hotel Keikyukamata Ekimae,US$90,3
HOTEL MYSTAYS Haneda,US$90,4
Creare Togoshi Ginza,US$94,N/A
#303WZNET梅屋敷バルコニー付き駅1分羽田空港品川12分Netflix無料,US$72,N/A
HOTEL MYSTAYS Kamata,US$96,3
C＆Jホテル,US$96,3
HOTEL Enmichi,US$73,3
Voere大井町 201,US$96,N/A
Dormy Inn Kawasaki Natural Hot Spring,US$93,3
Shinagawa New Apt Easy access to both Haneda & Narita Airport,US$100,N/A
Tokyu Stay Kamata - Tokyo Haneda,US$101,3
APA Hotel Kamata Ekimae,US$101,3
APA Hotel Kamataeki-Higashi,US$102,3
花の郷 品川,US$102,N/A
Minn Haneda Airport,US$103,N/A
APA Hotel TKP Keikyu Kawasaki Ekimae,US$103,3
QuintessaHotel TokyoHaneda Comic&Books,US$104,3
大井町アパートメントホテル豊強ビル,US$104,N/A
Kawasaki King Skyfront Tokyu REI Hotel,US$94,3
Private Hotel Summer 102,US$104,N/A
Chisun Hotel Kamata,US$104,3
[Newly built condominium for rent! ] 5 minutes wal - Vacation STAY 98059v,US$106,N/A
Henn na Hotel Tokyo Haneda,US$101,3
Eternity APARTMENT HOTEL SHINAGAWA,US$109,N/A
Daiwa Roynet Hotel Tokyo Osaki,US$109,3
Sotetsu Fresa Inn Kawasaki-Higashiguchi,US$97,3
Shinagawa Tobu Hotel,US$89,3
HOTEL MYSTAYS Gotanda,US$113,3
Hotel Royal Oak Gotanda,US$91,3
Richmond Hotel Premier Musashikosugi,US$115,4
Urbain Tokyo Haneda Kamata,US$116,3
Hotel Dieu Nakanobu - Vacation STAY 94326v,US$121,N/A
Numero Uno Tokyo - Vacation STAY 25742v,US$121,N/A
Hotel Dieu Nakanobu - Vacation STAY 94316v,US$121,N/A
Hotel the World Omori 102 - Vacation STAY 19409v,US$121,N/A
HOTEL LiVEMAX Kamata Ekimae,US$73,3
hotel MONday Haneda Airport,US$123,3
Hotel Mystays Gotanda Station,US$124,3
Hotel Luxe - Adult Only,US$125,3
鵜の木民宿202号室鵜の木駅から徒歩4分とても便利の場所,US$125,N/A
Toko inn courtyard,US$126,N/A
APA Hotel Omori Ekimae Higashi,US$126,3
HOTEL MYSTAYS PREMIER Omori,US$127,4
New Otani Inn Tokyo,US$127,3
M2-3Haneda Lex House 9BDR Max22 people 2WC 2Bath 1min from Sta FreeParking 'Private use,US$128,N/A
Numero Uno Tokyo - Vacation STAY 25720v,US$129,N/A
Numero Uno Tokyo - Vacation STAY 25715v,US$129,N/A
Numero Uno Tokyo - Vacation STAY 25738v,US$129,N/A
Numero Uno Tokyo - Vacation STAY 25725v,US$129,N/A
Tmark City Hotel Tokyo Omori,US$130,4
