Hotel Name,Price,Star-Rating
KEIKYU EX INN Haneda Innovation City 2 minutes walk from HICity Exit of Tenkubashi Station,US$91,3
JR-East Hotel Mets Yokohama Tsurumi,US$90,3
KEIKYU EX INN Keikyu Kawasaki-Station,US$92,3
JR-East Hotel Mets Kawasaki,US$89,3
KEIKYU EX INN Kamata -Tokyo,US$85,3
Ferio Kamata II,US$34,N/A
Realize Nishikoyama,US$42,N/A
AZEST-RENT Haneda 11,US$43,N/A
Ferio kamata III,US$45,N/A
uGard Shimomaruko,US$46,N/A
Best Western Yokohama,US$52,3
ID Ohmori20,US$54,N/A
Hotel Dieu Nakanobu,US$56,N/A
APRO STAY Shinagawa,US$57,N/A
ボンアート瀬田,US$60,N/A
ビラ サクラ Villa Sakura - Tokyo-Haneda Airport,US$60,N/A
Riverside Omori,US$61,N/A
ベルビー川崎,US$64,N/A
Zenith Garden TOGOSHI,US$64,N/A
Seacrest Nakanobu,US$64,N/A
Minn Kamata,US$65,3
羽田ハウスⅡ,US$68,N/A
#301WZNET梅屋敷駅1分羽田空港品川12分横浜19分Netflix無料,US$68,N/A
Fujiterrace Yoga,US$69,N/A
SLEEPLAB 高輪 -睡眠特化型Hotel-,US$70,N/A
Hotel the World Omori,US$75,N/A
Tokyo Time Traveler 駅徒歩5分 暮らすように泊まれるホテル,US$71,N/A
Fontaine Kamata,US$72,N/A
Pangoo Shinagawa,US$66,N/A
"Omorimachi Station - Close to the airport, spacious room, rare Maisonette type",US$73,N/A
kotobuki504condotel,US$78,N/A
Dash Living Osaki,US$72,N/A
Vista Ikegami,US$80,N/A
Red Roof Inn Kamata / Haneda Tokyo,US$80,3
HOTEL AMANEK Kamata-Eki Mae,US$81,3
Toyoko Inn Yokohama Tsurumi eki Higashi guchi,US$82,3
SK House,US$83,N/A
"EK House Kamata A, Simple&Stylish, Near Haneda/Shinagawa, one floor",US$83,N/A
Ai Hotel Keikyu Kamata,US$84,3
FLEXSTAY INN Shinagawa,US$85,3
Hotel Toms,US$88,3
Hotel Oriental Express Tokyo Kamata,US$88,3
Chatelet Nishi-Oi,US$89,N/A
APA Hotel Keikyukamata Ekimae,US$90,3
HOTEL MYSTAYS Haneda,US$90,4
Chisun Inn Kamata,US$91,3
Creare Togoshi Ginza,US$94,N/A
Eternity APARTMENT HOTEL SHINAGAWA,US$96,N/A
#303WZNET梅屋敷バルコニー付き駅1分羽田空港品川12分Netflix無料,US$72,N/A
HOTEL MYSTAYS PREMIER Omori,US$96,4
HOTEL MYSTAYS Kamata,US$96,3
C＆Jホテル,US$96,3
HOTEL Enmichi,US$73,3
Voere大井町 201,US$96,N/A
Dormy Inn Kawasaki Natural Hot Spring,US$93,3
APA Hotel Keikyu Kamata Ekimae Nishi,US$98,3
Shinagawa New Apt Easy access to both Haneda & Narita Airport,US$100,N/A
Tokyu Stay Kamata - Tokyo Haneda,US$101,3
APA Hotel Kamata Ekimae,US$101,3
APA Hotel Kamataeki-Higashi,US$102,3
花の郷 品川,US$102,N/A
Minn Haneda Airport,US$103,N/A
APA Hotel TKP Keikyu Kawasaki Ekimae,US$103,3
QuintessaHotel TokyoHaneda Comic&Books,US$104,3
大井町アパートメントホテル豊強ビル,US$104,N/A
Kawasaki King Skyfront Tokyu REI Hotel,US$94,3
Private Hotel Summer 102,US$104,N/A
Chisun Hotel Kamata,US$104,3
[Newly built condominium for rent! ] 5 minutes wal - Vacation STAY 98059v,US$106,N/A
Henn na Hotel Tokyo Haneda,US$97,3
Daiwa Roynet Hotel Tokyo Osaki,US$109,3
Sotetsu Fresa Inn Kawasaki-Higashiguchi,US$97,3
Shinagawa Tobu Hotel,US$89,3
HOTEL MYSTAYS Gotanda,US$113,3
Hotel Royal Oak Gotanda,US$91,3
Richmond Hotel Premier Musashikosugi,US$115,4
Urbain Tokyo Haneda Kamata,US$106,3
Hotel Dieu Nakanobu - Vacation STAY 94326v,US$121,N/A
Numero Uno Tokyo - Vacation STAY 25742v,US$121,N/A
Hotel Dieu Nakanobu - Vacation STAY 94316v,US$121,N/A
