Hotel Name,Price,Star-Rating
SLEEPLAB 高輪 -睡眠特化型Hotel-,US$76,N/A
KEIKYU EX INN Kamata -Tokyo,US$85,3
KEIKYU EX INN Haneda Innovation City 2 minutes walk from HICity Exit of Tenkubashi Station,US$91,3
JR-East Hotel Mets Yokohama Tsurumi,US$90,3
KEIKYU EX INN Keikyu Kawasaki-Station,US$92,3
Best Western Yokohama,US$52,3
Hotel Dieu Nakanobu,US$56,N/A
ボンアート瀬田,US$60,N/A
ビラ サクラ Villa Sakura - Tokyo-Haneda Airport,US$56,N/A
Riverside Omori,US$56,N/A
ベルビー川崎,US$64,N/A
Zenith Garden TOGOSHI,US$59,N/A
Seacrest Nakanobu,US$64,N/A
Minn Kamata,US$65,3
#301WZNET梅屋敷駅1分羽田空港品川12分横浜19分Netflix無料,US$68,N/A
Hotel the World Omori,US$75,N/A
Tokyo Time Traveler 駅徒歩5分 暮らすように泊まれるホテル,US$71,N/A
Fontaine Kamata,US$66,N/A
"Omorimachi Station - Close to the airport, spacious room, rare Maisonette type",US$73,N/A
kotobuki504condotel,US$78,N/A
Dash Living Osaki,US$79,N/A
Vista Ikegami,US$74,N/A
Red Roof Inn Kamata / Haneda Tokyo,US$74,3
HOTEL AMANEK Kamata-Eki Mae,US$81,3
Toyoko Inn Yokohama Tsurumi eki Higashi guchi,US$75,3
SK House,US$83,N/A
Ai Hotel Keikyu Kamata,US$84,3
FLEXSTAY INN Shinagawa,US$85,3
Hotel Toms,US$88,3
Hotel Oriental Express Tokyo Kamata,US$81,3
APA Hotel Keikyukamata Ekimae,US$90,3
HOTEL MYSTAYS Haneda,US$90,4
Eternity APARTMENT HOTEL SHINAGAWA,US$85,N/A
Creare Togoshi Ginza,US$94,N/A
#303WZNET梅屋敷バルコニー付き駅1分羽田空港品川12分Netflix無料,US$72,N/A
HOTEL MYSTAYS Kamata,US$96,3
C＆Jホテル,US$88,3
HOTEL Enmichi,US$73,3
Voere大井町 201,US$89,N/A
Dormy Inn Kawasaki Natural Hot Spring,US$90,3
Shinagawa New Apt Easy access to both Haneda & Narita Airport,US$92,N/A
Tokyu Stay Kamata - Tokyo Haneda,US$93,3
APA Hotel Kamataeki-Higashi,US$102,3
花の郷 品川,US$94,N/A
Minn Haneda Airport,US$103,N/A
QuintessaHotel TokyoHaneda Comic&Books,US$104,3
大井町アパートメントホテル豊強ビル,US$96,N/A
Private Hotel Summer 102,US$104,N/A
Chisun Hotel Kamata,US$104,3
[Newly built condominium for rent! ] 5 minutes wal - Vacation STAY 98059v,US$98,N/A
Henn na Hotel Tokyo Haneda,US$99,3
Daiwa Roynet Hotel Tokyo Osaki,US$101,3
Sotetsu Fresa Inn Kawasaki-Higashiguchi,US$97,3
Shinagawa Tobu Hotel,US$90,3
HOTEL MYSTAYS Gotanda,US$113,3
Hotel Royal Oak Gotanda,US$91,3
Richmond Hotel Premier Musashikosugi,US$115,4
APA Hotel TKP Keikyu Kawasaki Ekimae,US$106,3
Urbain Tokyo Haneda Kamata,US$116,3
Hotel Dieu Nakanobu - Vacation STAY 94326v,US$121,N/A
Numero Uno Tokyo - Vacation STAY 25742v,US$121,N/A
Hotel Dieu Nakanobu - Vacation STAY 94316v,US$111,N/A
Hotel the World Omori 102 - Vacation STAY 19409v,US$111,N/A
HOTEL LiVEMAX Kamata Ekimae,US$73,3
Kawasaki King Skyfront Tokyu REI Hotel,US$94,3
hotel MONday Haneda Airport,US$123,3
Hotel Mystays Gotanda Station,US$124,3
Hotel Luxe - Adult Only,US$125,3
鵜の木民宿202号室鵜の木駅から徒歩4分とても便利の場所,US$115,N/A
Toko inn courtyard,US$116,N/A
APA Hotel Omori Ekimae Higashi,US$126,3
HOTEL MYSTAYS PREMIER Omori,US$127,4
New Otani Inn Tokyo,US$117,3
M2-3Haneda Lex House 9BDR Max22 people 2WC 2Bath 1min from Sta FreeParking 'Private use,US$128,N/A
Numero Uno Tokyo - Vacation STAY 25720v,US$129,N/A
Numero Uno Tokyo - Vacation STAY 25715v,US$129,N/A
Numero Uno Tokyo - Vacation STAY 25738v,US$119,N/A
Numero Uno Tokyo - Vacation STAY 25725v,US$129,N/A
Tmark City Hotel Tokyo Omori,US$130,4
Hotel JAL City Haneda Tokyo West Wing,US$132,4
